make_year,ext_make_year,make_target,make_freq,model_target,model_freq,transmission_target,transmission_freq,body_type_target,body_type_target,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
2020,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,31000.0,1.46,688000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,1.0,1.46,665000.0,954000.0,9
2018,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,9000.0,1.46,678000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,17000.0,1.46,688000.0,954000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,31000.0,1.46,688000.0,954000.0,9
2023,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,11400.0,1.46,800000.0,954000.0,9
2022,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,25000.0,1.46,940000.0,954000.0,9
2015,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,1102810.8291457286,0.6063375990249847,540023.2803815576,540023.2803815576,0,1,60000.0,1.2,385000.0,989000.0,9
2016,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,753252.8193717279,0.2327848872638635,704313.6279069788,704313.6279069788,0,1,56000.0,1.2,300000.0,989000.0,9
2014,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,753252.8193717279,0.2327848872638635,540023.2803815576,540023.2803815576,0,1,28000.0,1.2,335000.0,989000.0,9
2015,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,753252.8193717279,0.2327848872638635,540023.2803815576,540023.2803815576,0,1,64000.0,1.2,350000.0,989000.0,9
2011,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,1102810.8291457286,0.6063375990249847,540023.2803815576,540023.2803815576,0,1,52000.0,1.37,365000.0,989000.0,9
2015,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,678251.5520286055,0.15234613040828762,540023.2803815576,540023.2803815576,0,1,77000.0,1.2,369000.0,989000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,753252.8193717279,0.2327848872638635,704313.6279069788,704313.6279069788,0,1,43000.0,1.2,380000.0,989000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,753252.8193717279,0.2327848872638635,704313.6279069788,704313.6279069788,0,1,19000.0,1.2,415000.0,989000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,753252.8193717279,0.2327848872638635,704313.6279069788,704313.6279069788,0,1,1.0,1.2,430000.0,989000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,1102810.8291457286,0.6063375990249847,704313.6279069788,704313.6279069788,0,1,30000.0,1.2,438000.0,989000.0,9
2017,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,678251.5520286055,0.15234613040828762,540023.2803815576,540023.2803815576,0,1,39000.0,1.2,455000.0,989000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786179.8241495811,0.007312614259597806,678251.5520286055,0.15234613040828762,540023.2803815576,540023.2803815576,0,1,11800.0,1.2,650000.0,989000.0,9
2017,2024,548857.1964662132,0.039609993906154786,925675.7421900802,0.005484460694698354,1102810.8291457286,0.6063375990249847,1086439.880131363,1086439.880131363,0,1,50000.0,1.3,710000.0,1258000.0,9
2022,2024,548857.1964662132,0.039609993906154786,925675.7421900802,0.005484460694698354,1102810.8291457286,0.6063375990249847,1086439.880131363,1086439.880131363,0,1,60000.0,1.5,1195000.0,1258000.0,9
2003,2024,548857.1964662132,0.039609993906154786,925675.7421900802,0.005484460694698354,1102810.8291457286,0.6063375990249847,1086439.880131363,1086439.880131363,0,1,1.0,1.33,378000.0,1258000.0,9
2005,2024,548857.1964662132,0.039609993906154786,925675.7421900802,0.005484460694698354,753252.8193717279,0.2327848872638635,1086439.880131363,1086439.880131363,0,1,39000.0,1.33,435000.0,1258000.0,9
2006,2024,548857.1964662132,0.039609993906154786,925675.7421900802,0.005484460694698354,1102810.8291457286,0.6063375990249847,1086439.880131363,1086439.880131363,0,1,230000.0,1.46,570000.0,1258000.0,9
2018,2024,548857.1964662132,0.039609993906154786,925675.7421900802,0.005484460694698354,1102810.8291457286,0.6063375990249847,1086439.880131363,1086439.880131363,0,1,80000.0,1.46,718000.0,1258000.0,9
2020,2024,548857.1964662132,0.039609993906154786,925675.7421900802,0.005484460694698354,753252.8193717279,0.2327848872638635,1086439.880131363,1086439.880131363,0,1,1.0,1.46,1128000.0,1258000.0,9
2022,2024,548857.1964662132,0.039609993906154786,925675.7421900802,0.005484460694698354,753252.8193717279,0.2327848872638635,1086439.880131363,1086439.880131363,0,1,85000.0,1.46,1150000.0,1258000.0,9
